Month,Store,Metric,Amount (Rs Lakhs)
April 2024,DCB,Aggregator commission,0.0
April 2024,VBP,Aggregator commission,7.6525
April 2024,ADM,Aggregator commission,12.2696
April 2024,SFC,Aggregator commission,9.941
April 2024,SCK,Aggregator commission,9.5399
April 2024,SES,Aggregator commission,5.624
April 2024,JIG,Aggregator commission,7.9342
April 2024,GCN,Aggregator commission,4.9425
April 2024,ANN,Aggregator commission,4.9308
April 2024,SKO,Aggregator commission,6.2772
April 2024,JAP,Aggregator commission,4.9829
April 2024,DWR,Aggregator commission,5.7188
April 2024,AVK,Aggregator commission,3.864
April 2024,CYG,Aggregator commission,3.2214
April 2024,NSS,Aggregator commission,6.9827
April 2024,GEB,Aggregator commission,4.9761
April 2024,ROH,Aggregator commission,4.6087
April 2024,EKL,Aggregator commission,8.2479
April 2024,PBF,Aggregator commission,2.7264
April 2024,KBB,Aggregator commission,4.5165
April 2024,IHY,Aggregator commission,2.8008
April 2024,DCH,Aggregator commission,0.0
April 2024,HAA,Aggregator commission,0.0
April 2024,SCH,Aggregator commission,0.0805
April 2024,LTP,Aggregator commission,3.258
April 2024,GSM,Aggregator commission,4.0177
April 2024,PPM,Aggregator commission,2.6908
April 2024,FLM,Aggregator commission,4.6877
April 2024,FDN,Aggregator commission,11.0008
April 2024,DTK,Aggregator commission,5.4734
April 2024,AKA,Aggregator commission,3.3515
April 2024,HIM,Aggregator commission,2.4586
April 2024,SMR,Aggregator commission,7.7345
April 2024,DLP,Aggregator commission,1.4465
April 2024,EXA,Aggregator commission,3.2377
April 2024,VRA,Aggregator commission,2.1996
April 2024,CPM,Aggregator commission,0.9346
April 2024,KTP,Aggregator commission,3.9118
April 2024,CAR,Aggregator commission,1.1127
April 2024,VEL,Aggregator commission,3.3238
April 2024,EGL,Marketing & advertisement,0.2147
April 2024,ITPL,Marketing & advertisement,1.1911
April 2024,RMZ,Marketing & advertisement,0.0416
April 2024,KOR,Marketing & advertisement,0.987
April 2024,DIV,Marketing & advertisement,0.0295
April 2024,IND,Marketing & advertisement,0.7137
April 2024,BAG,Marketing & advertisement,0.0295
April 2024,ECO-old,Marketing & advertisement,0.0
April 2024,DLF,Marketing & advertisement,0.0
April 2024,MAN,Marketing & advertisement,0.5306
April 2024,ECW-old,Marketing & advertisement,0.3823
April 2024,MTP,Marketing & advertisement,0.0515
April 2024,ETV,Marketing & advertisement,0.0
April 2024,VIR,Marketing & advertisement,0.4857
April 2024,Tecno,Marketing & advertisement,0.0
April 2024,ARK,Marketing & advertisement,0.318
April 2024,SIG,Marketing & advertisement,0.0
April 2024,HSR,Marketing & advertisement,0.4299
April 2024,CVR,Marketing & advertisement,0.0512
April 2024,SJP,Marketing & advertisement,0.0
April 2024,ORW,Marketing & advertisement,3.974
April 2024,EST,Marketing & advertisement,0.4274
April 2024,ORE,Marketing & advertisement,0.0
April 2024,AUR,Marketing & advertisement,0.0
April 2024,JPN,Marketing & advertisement,0.9037
April 2024,JPC,Marketing & advertisement,0.0
April 2024,PTP,Marketing & advertisement,0.0
