month,store,aggregator_commission,cam,cogs_food_pluspackaging,gross_sales,marketing_&_advertisement,net_sales,other_opex_expenses,rent,utility_cost,store_labor_cost,total_outlet_expenses,outlet_ebitda
August 2024,RMZ,1.1228,0.1888,6.8379,18.9529,0.1069,18.3501,0.9434,2.2206,0.6052,3.1677,15.193300000000002,3.1567999999999987
August 2024,ROH,6.3438,0.0,11.6631,28.7926,1.1093,28.7926,1.3621,0.45,1.2572,3.3103,25.4958,3.296800000000001
August 2024,RRR,3.9085,0.4413,10.3967,29.9348,0.3958,29.4867,1.1684,2.0645,1.1114,3.9019,23.3885,6.0981999999999985
August 2024,SCH,0.0,0.5464,10.0108,27.1039,0.2514,25.8135,1.1424,3.046,1.0853,3.0258,19.1081,6.705400000000001
August 2024,SCK,11.8527,0.0,23.3113,55.5047,0.4086,55.5038,1.7891,0.441,1.6084,3.5736,42.9847,12.519100000000002
August 2024,SEC,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
August 2024,SES,6.4287,0.0,11.5454,29.424,0.6335,29.4221,1.3699,0.3307,1.1553,3.5944,25.057900000000004,4.364199999999997
August 2024,SFC,9.9774,0.0578,17.8761,44.6465,0.521,44.6388,3.1309,0.4969,1.14,2.9457,36.1458,8.493000000000002
August 2024,SHV,4.8413,0.1475,10.9545,31.6019,0.8012,31.1694,1.2798,1.5859,1.0583,4.0099,24.6784,6.491
August 2024,SIG,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
August 2024,SJP,6.5411,0.0,14.0775,38.306,2.8498,37.9446,1.7877,2.54,1.365,5.9748,35.13590000000001,2.8086999999999946
August 2024,SKO,7.2772,1.03,19.4114,47.9676,0.3133,47.2697,2.5727,3.9434,2.032,4.1028,40.6828,6.5869
August 2024,SMR,10.9799,0.209,22.0746,64.4848,0.7235,63.7442,1.9469,1.6388,1.8157,5.9839,45.3723,18.371899999999997
August 2024,STN,0.6361,0.59,8.3057,23.8671,3.7552,22.8678,1.147,3.1031,1.0038,3.6788,22.2197,0.6480999999999995
August 2024,SYH,8.9495,0.0,20.5478,54.797,1.1477,54.2969,1.5952,2.065,2.1493,5.637,42.091499999999996,12.205400000000004
August 2024,Tecno,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,
August 2024,VBP,9.0863,0.4673,21.9065,54.4963,0.512,53.8394,1.6843,2.6727,1.1475,4.0899,41.566500000000005,12.272899999999993
August 2024,VEL,4.9085,,13.2753,37.3483,0.2824,36.6152,1.56,1.7,1.5928,4.3077,27.6267,8.988500000000002
August 2024,VIR,5.2525,0.295,10.0841,29.9697,0.1781,29.66,1.1898,2.1154,1.1378,4.0149,24.2676,5.3923999999999985
August 2024,VRA,2.8925,1.0915,10.5114,28.484,1.369,27.7467,1.0265,3.5841,1.6598,4.4033,26.5381,1.2086000000000006
July 2024,ADM,15.5895,1.2213,34.4995,82.2656,0.8122,81.7025,2.4161,5.063,1.5148,6.3023,67.4187,14.2838
July 2024,AKA,3.6456,0.59,7.4698,22.1791,0.9534,21.9064,0.9513,1.593,0.9996,4.4808,20.683500000000002,1.2228999999999992
July 2024,ANN,5.5997,0.8615,16.3243,40.5078,0.6017,39.7899,2.2077,4.4341,1.5076,4.4189,35.9555,3.8344000000000023
July 2024,ARK,9.371,0.0,21.4076,61.4059,0.3169,60.6725,2.2611,1.5528,1.5943,4.309,40.8127,19.8598
July 2024,ATL,3.0464,0.531,10.7652,28.7183,0.5076,27.9947,0.9846,2.6761,0.8,3.5255,22.8364,5.1583000000000006
July 2024,ATT,1.5765,0.0944,5.455,14.2031,1.4024,13.8705,1.2844,1.888,1.2928,2.9246,15.918099999999999,-2.047599999999999
July 2024,AUR,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July 2024,AVK,3.3778,0.7722,9.7839,23.1839,0.9,22.811,1.3575,2.36,1.0006,4.1094,23.6614,-0.8504000000000005
July 2024,BAG,0.8334,0.3098,5.3545,14.511,0.0547,13.997,1.0023,1.6517,0.5627,3.1007,12.869799999999998,1.127200000000002
July 2024,BNJ,1.3635,0.0,5.657,11.6005,1.8232,11.3376,1.3616,4.13,0.5852,2.5153,17.4358,-6.0982
July 2024,BTG,5.4524,0.2602,11.4818,35.1999,0.0364,34.6942,1.3222,3.0017,0.4,3.4964,25.4511,9.243100000000002
July 2024,BVG,4.9139,0.118,14.1764,37.2124,0.39,36.6142,1.7357,1.405,1.1838,4.7403,28.6631,7.951099999999997
July 2024,CAR,0.9536,0.693,6.2929,16.6608,0.3901,16.0699,0.665,1.8741,0.95,2.7656,14.584299999999999,1.4856000000000016
July 2024,CLA,6.174,0.0,13.1011,31.1327,0.6986,31.109,1.825,0.3643,1.2876,3.9173,27.367900000000002,3.7410999999999994
July 2024,CPM,0.6605,0.7499,10.0394,27.5771,0.1616,26.4055,0.9812,4.0513,0.9872,4.1182,21.7493,4.656199999999998
July 2024,CVR,0.0,0.295,4.3725,12.3634,0.0181,11.7746,0.9519,1.3897,0.8141,2.0459,9.8872,1.8873999999999995
July 2024,CYG,3.1321,0.8937,8.9824,25.7403,0.1326,25.2122,1.4311,2.955,0.7646,3.4006,21.6921,3.5200999999999993
July 2024,DCB,0.0,0.0,6.353,14.5988,0.0323,14.5988,1.8085,0.0,0.01,3.1133,11.3171,3.2817000000000007
July 2024,DCH,0.0,0.0,13.1901,30.0278,0.0181,29.9856,3.9828,0.0,0.0,2.8037,19.9947,9.9909
